gbifID,institutionCode,collectionCode,basisOfRecord,eventDate,year,month,day,decimalLatitude,decimalLongitude,kingdom,phylum,class,order,family,genus,species,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Name,level2Name,iucnRedListCategory
1320513035,USNM,MAMM,PRESERVED_SPECIMEN,5/5/67,1967,5,5,8.32,4.52,Animalia,Chordata,Mammalia,Rodentia,Muridae,Praomys,Praomys derooi,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kwara,Asa,LC
1320511242,USNM,MAMM,PRESERVED_SPECIMEN,3/15/67,1967,3,15,8.9,8.28,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mastomys,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Nasarawa,Akwanga,NE
1320508424,USNM,MAMM,PRESERVED_SPECIMEN,3/27/67,1967,3,27,9.52,8.38,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mastomys,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kaduna,Kaura,NE
1320507941,USNM,MAMM,PRESERVED_SPECIMEN,3/30/67,1967,3,30,9.52,8.38,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Heliosciurus,Heliosciurus gambianus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kaduna,Kaura,LC
1320507273,USNM,MAMM,PRESERVED_SPECIMEN,5/16/67,1967,5,16,7.85,6.72,Animalia,Chordata,Mammalia,Rodentia,Muridae,Taterillus,Taterillus gracilis,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kogi,Lokoja,LC
1320504646,USNM,MAMM,PRESERVED_SPECIMEN,6/13/67,1967,6,13,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,NE
1320503147,USNM,MAMM,PRESERVED_SPECIMEN,6/12/67,1967,6,12,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,NE
1320500483,USNM,MAMM,PRESERVED_SPECIMEN,5/29/67,1967,5,29,11.57,4.48,Animalia,Chordata,Mammalia,Rodentia,Muridae,Taterillus,Taterillus gracilis,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kebbi,Koko/Besse,LC
1320500419,USNM,MAMM,PRESERVED_SPECIMEN,3/17/67,1967,3,17,8.9,8.28,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Funisciurus,Funisciurus anerythrus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Nasarawa,Akwanga,LC
1320499999,USNM,MAMM,PRESERVED_SPECIMEN,4/13/67,1967,4,13,9.45,9.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Grammomys,Grammomys dolichurus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Plateau,Mangu,LC
1320497795,USNM,MAMM,PRESERVED_SPECIMEN,5/28/67,1967,5,28,11.57,4.48,Animalia,Chordata,Mammalia,Rodentia,Muridae,Taterillus,Taterillus gracilis,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kebbi,Koko/Besse,LC
1320496474,USNM,MAMM,PRESERVED_SPECIMEN,5/5/67,1967,5,5,8.32,4.52,Animalia,Chordata,Mammalia,Chiroptera,Nycteridae,Nycteris,Nycteris hispida,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kwara,Asa,LC
